Zoznam železničných tratí za rok 2025;;;;
Číslo žel. tratí;Kategória trate;Začiatok trate;Koniec trate;"Trate v km
(stav k 31.12.2025)"
129 A;3;Nové Mesto nad Váhom;Vrbovce št. hr.;44,627
129 B;3;Kúty;Skalica na Slovensku št. hr.;27,748
129 C;3;Holíč nad Moravou;Holíč nad Moravou št. hr.;3,189
129 D;3;Nové Mesto nad Váhom výh. č. 48/49;Nové Mesto nad Váhom výh. č. 53/54;0,880
130 B;3;Trenčianska Teplá;Horné Srnie št. hr.;12,668
110 B;4;Spišské Podhradie;Spišské Vlachy;9,314
110 C;4;Levoča;Spišská Nová Ves;12,630
111 A;4;Dobšiná;Rožňava;26,132
111 B;4;Plešivec;Slavošovce;23,777
111 C;4;Plešivec;Muráň;40,872
111 D;4;Moldava nad Bodvou;Medzev;15,512
112 B;4;Odb. Spišská Belá;Spišská Belá;2,397
112 C;4;Tatranská Lomnica;Studený Potok;8,847
114 C;4;Čadca;Makov;25,872
117 A;4;Utekáč;Lučenec;41,225
117 B;4;Breznička;Katarínska Huta;9,857
121 B;4;Banská Štiavnica;Hronská Dúbrava;19,737
123 C;4;Zbehy;Radošina;20,200
124 B;4;Komárno;Kolárovo;25,844
124 C;4;Neded;Šaľa;18,960
126 C;4;Plavecký Mikuláš;Záhorská Ves;49,509
128 D;4;Brezová pod Bradlom;Jablonica;11,669
129 E;4;Piešťany;Vrbové;0,000
130 C;4;Nemšová;Lednické Rovne;17,272
112 D;5;Poprad-Tatry TEŽ;Štrbské Pleso;29,107
112 E;5;Tatranská Lomnica TEŽ;Starý Smokovec;5,936
112 F;5;Štrbské Pleso;Štrba OŽ;4,630
130 D;špeciálna dráha;Trenčianske Teplice;Trenčianska Teplá ÚRT;5,427
Spolu;;;;3 644,077
